#time	 a1	 c1	 intFac1	 a2	 c2	 intFac2
0.500000|	 0.001527|	 0.051091|	 1033.362416|	0.001535|	 0.088694|	 1054.448461|	0.001547|	 0.010873|	 1045.758497
1.000000|	 0.001611|	 0.030047|	 1021.957483|	0.001558|	 0.054173|	 1037.885776|	0.198314|	 0.026424|	 1042.528528
1.500000|	 0.001537|	 0.018146|	 1008.848427|	0.001531|	 0.033319|	 1022.437475|	0.481352|	 0.205895|	 1041.467593
2.000000|	 0.001540|	 0.011285|	 1027.073305|	0.001535|	 0.020744|	 1030.406315|	0.001518|	 0.166585|	 1024.387954
2.500000|	 0.001542|	 0.007295|	 1049.973391|	0.001539|	 0.013160|	 1036.590637|	0.001530|	 0.102936|	 1040.565600
3.000000|	 0.002999|	 0.005223|	 1052.043181|	0.283073|	 0.040706|	 1051.594610|	0.001549|	 0.063838|	 1030.956620
3.500000|	 0.001544|	 0.003929|	 1033.642535|	0.413879|	 0.212324|	 1056.496198|	0.001529|	 0.039806|	 1050.659997
4.000000|	 0.001545|	 0.003081|	 1048.045082|	0.001520|	 0.155374|	 1046.655892|	0.001534|	 0.025021|	 1027.709643
4.500000|	 0.001545|	 0.002571|	 1015.767348|	0.001532|	 0.096344|	 1045.460411|	0.001538|	 0.015922|	 1036.720458
5.000000|	 0.317791|	 0.035318|	 1033.770453|	0.001552|	 0.059957|	 1019.405861|	0.001912|	 0.010430|	 1026.443427
5.500000|	 0.444548|	 0.229657|	 1048.615465|	0.001530|	 0.037525|	 1045.801251|	0.001542|	 0.007177|	 1062.969151
6.000000|	 0.001518|	 0.169650|	 1027.971790|	0.001534|	 0.023702|	 1028.714276|	0.001543|	 0.005349|	 1023.552054
6.500000|	 0.001530|	 0.104308|	 1076.229379|	0.001538|	 0.015187|	 1035.203243|	0.001544|	 0.004224|	 1038.704221
7.000000|	 0.001549|	 0.064320|	 1038.746666|	0.002613|	 0.010109|	 1024.814577|	0.005922|	 0.003979|	 1025.876949
7.500000|	 0.001530|	 0.039886|	 1020.133314|	0.523193|	 0.102311|	 1041.184168|	0.059714|	 0.015323|	 1031.854698
8.000000|	 0.001534|	 0.024953|	 1033.250688|	0.065597|	 0.213532|	 1041.517210|	0.001543|	 0.032165|	 1029.544474
8.500000|	 0.001538|	 0.015837|	 1054.185411|	0.001525|	 0.122183|	 1023.638460|	0.001531|	 0.031736|	 1013.184143
9.000000|	 0.009883|	 0.011012|	 1022.840543|	0.001544|	 0.070834|	 1016.192954|	0.001641|	 0.024488|	 1030.249922
9.500000|	 0.555120|	 0.135770|	 1041.803616|	0.001528|	 0.041613|	 1026.287855|	0.001537|	 0.017728|	 1032.629214
10.00000|0	 0.002078|	 0.198175|	 1038.011060|	0.001534|	 0.024826|	 1015.435966|	0.001539|	 0.012504|	 1020.781468
10.50000|0	 0.001525|	 0.122508|	 1031.276150|	0.001538|	 0.015128|	 1035.507812|	0.001541|	 0.008795|	 1024.645525
11.00000|0	 0.001541|	 0.075961|	 1023.697864|	0.001936|	 0.009543|	 1033.460141|	0.096515|	 0.013755|	 1040.931262
11.50000|0	 0.001527|	 0.047325|	 1049.767906|	0.001543|	 0.006321|	 1021.124371|	0.535634|	 0.186604|	 1051.238244
12.00000|0	 0.001532|	 0.029704|	 1013.604778|	0.001544|	 0.004369|	 1019.216043|	0.001517|	 0.177926|	 1037.944342
12.50000|0	 0.001536|	 0.018865|	 1034.541921|	0.001545|	 0.003221|	 1039.933153|	0.001528|	 0.110182|	 1038.862249
13.00000|0	 0.001824|	 0.012252|	 1037.446651|	0.021693|	 0.004134|	 1015.353411|	0.001546|	 0.068464|	 1043.762731
13.50000|0	 0.001542|	 0.008389|	 1038.741567|	0.623443|	 0.140360|	 1039.442092|	0.001528|	 0.042771|	 1023.899222
14.00000|0	 0.001543|	 0.006424|	 1013.921279|	0.001546|	 0.222791|	 1020.516369|	0.001533|	 0.026936|	 1062.670780
14.50000|0	 0.001543|	 0.005318|	 1028.538876|	0.001522|	 0.136401|	 1036.023454|	0.001537|	 0.017183|	 1045.631728
15.00000|0	 0.002068|	 0.004439|	 1011.977114|	0.001537|	 0.083618|	 1041.879866|	0.001784|	 0.011185|	 1041.072618
15.50000|0	 0.010114|	 0.004932|	 1022.849117|	0.001562|	 0.051470|	 1012.086788|	0.116361|	 0.017401|	 1024.654773
16.00000|0	 0.002119|	 0.012492|	 1036.687123|	0.001531|	 0.031911|	 1027.140033|	0.526357|	 0.191431|	 1017.205096
16.50000|0	 0.001535|	 0.021953|	 1016.449582|	0.001536|	 0.020013|	 1040.818376|	0.001518|	 0.172640|	 1021.829731
